step,g_phase_deg,LF_fx,LF_fz,LF_hip,LF_knee,LF_swing,LH_fx,LH_fz,LH_hip,LH_knee,LH_swing,RF_fx,RF_fz,RF_hip,RF_knee,RF_swing,RH_fx,RH_fz,RH_hip,RH_knee,RH_swing
146,262.8,10.5,0.0,120.486,99.175,0,-11.375,0.0,140.974,99.522,0,-33.25,0.0,30.039,61.934,0,32.375,0.0,86.804,63.093,0
147,264.6,10.062,0.0,120.974,99.012,0,-11.813,0.0,141.284,99.707,0,-33.688,0.0,30.019,61.338,0,31.937,0.0,86.198,63.657,0
148,266.4,9.625,0.0,121.458,98.856,0,-12.25,0.0,141.59,99.898,0,-34.125,0.0,30.005,60.731,0,31.5,0.0,85.595,64.21,0
149,268.2,9.188,0.0,121.941,98.707,0,-12.687,0.0,141.892,100.096,0,-34.562,0.0,30.0,60.112,0,31.062,0.0,84.995,64.753,0
150,270.0,8.75,0.0,122.421,98.565,0,-13.125,0.0,142.188,100.302,0,-35.0,0.0,30.003,59.482,0,30.625,0.0,84.398,65.286,0
151,271.8,8.312,0.0,122.898,98.43,0,-13.562,0.0,142.48,100.514,0,-34.871,0.174,29.713,60.1,1,30.188,0.0,83.804,65.809,0
152,273.6,7.875,0.0,123.372,98.301,0,-14.0,0.0,142.767,100.734,0,-34.493,0.683,28.882,61.88,1,29.75,0.0,83.212,66.323,0
153,275.4,7.437,0.0,123.844,98.18,0,-14.437,0.0,143.049,100.961,0,-33.878,1.51,27.582,64.676,1,29.312,0.0,82.624,66.827,0
154,277.2,7.0,0.0,124.313,98.066,0,-14.875,0.0,143.326,101.195,0,-33.04,2.636,25.901,68.317,1,28.875,0.0,82.038,67.322,0
155,279.0,6.562,0.0,124.779,97.959,0,-15.312,0.0,143.599,101.436,0,-31.992,4.037,23.929,72.63,1,28.438,0.0,81.455,67.808,0
156,280.8,6.125,0.0,125.242,97.858,0,-15.75,0.0,143.866,101.684,0,-30.748,5.691,21.754,77.458,1,28.0,0.0,80.875,68.284,0
157,282.6,5.688,0.0,125.703,97.765,0,-16.188,0.0,144.128,101.94,0,-29.319,7.566,19.458,82.658,1,27.563,0.0,80.297,68.752,0
158,284.4,5.25,0.0,126.16,97.678,0,-16.625,0.0,144.386,102.203,0,-27.72,9.628,17.122,88.107,1,27.125,0.0,79.721,69.211,0
159,286.2,4.812,0.0,126.615,97.599,0,-17.062,0.0,144.638,102.473,0,-25.963,11.836,14.826,93.693,1,26.688,0.0,79.148,69.661,0
160,288.0,4.375,0.0,127.066,97.526,0,-17.5,0.0,144.885,102.75,0,-24.062,14.142,12.655,99.316,1,26.25,0.0,78.578,70.103,0
161,289.8,3.938,0.0,127.515,97.461,0,-17.938,0.0,145.127,103.035,0,-22.03,16.493,10.704,104.881,1,25.812,0.0,78.01,70.536,0
162,291.6,3.5,0.0,127.961,97.402,0,-18.375,0.0,145.364,103.327,0,-19.88,18.831,9.078,110.294,1,25.375,0.0,77.444,70.961,0
163,293.4,3.063,0.0,128.403,97.35,0,-18.812,0.0,145.595,103.627,0,-17.625,21.094,7.898,115.462,1,24.938,0.0,76.88,71.377,0
164,295.2,2.625,0.0,128.842,97.305,0,-19.25,0.0,145.821,103.934,0,-15.278,23.22,7.3,120.287,1,24.5,0.0,76.319,71.785,0
165,297.0,2.188,0.0,129.278,97.267,0,-19.687,0.0,146.042,104.248,0,-12.852,25.147,7.427,124.665,1,24.063,0.0,75.76,72.185,0
